,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
10,Oct-17,₦472.85,₦42.06,₦382.58,₦342.05,"₦1,081.30","₦1,312.73",₦305.88,₦280.34,₦416.18,"₦2,083.74",₦906.94,₦845.10,₦800.10,₦960.71,₦967.00,₦170.60,₦198.67,"₦1,580.13",₦268.10,₦305.02,₦504.03,"₦1,914.45",₦291.12,₦828.93,₦191.15,₦191.10,"₦1,074.73","₦2,190.22",₦217.58,₦473.61,₦247.38,₦229.88,₦325.93,₦292.90,₦320.64,₦368.90,₦115.73,₦822.39,"₦1,050.38",₦291.53,₦547.11,₦641.41,₦223.63
11,Nov-17,₦463.11,₦40.82,₦369.78,₦337.09,"₦1,065.59","₦1,286.86",₦298.96,₦274.32,₦417.24,"₦2,214.33",₦902.02,₦847.66,₦790.91,₦953.60,₦968.77,₦169.44,₦196.02,"₦1,571.48",₦251.91,₦289.15,₦503.79,"₦1,903.71",₦290.55,₦844.59,₦185.13,₦189.88,"₦1,081.61","₦2,144.20",₦228.46,₦475.51,₦244.89,₦233.27,₦315.14,₦278.89,₦309.87,₦360.83,₦111.36,₦813.77,"₦1,125.88",₦286.39,₦540.20,₦649.19,₦212.27
12,Dec-17,₦494.43,₦41.32,₦361.97,₦314.93,"₦1,067.73","₦1,236.44",₦290.05,₦268.23,₦319.86,"₦2,146.61",₦919.82,"₦1,007.40","₦1,155.99",₦950.56,"₦1,077.82",₦159.72,₦191.44,"₦1,708.64",₦199.68,₦219.75,₦660.36,"₦1,545.26",₦314.23,"₦1,015.57",₦154.37,₦161.90,"₦1,060.02","₦1,621.42",₦311.09,₦551.77,₦240.84,₦253.05,₦317.46,₦278.94,₦304.90,₦371.21,₦120.19,"₦1,158.84","₦1,109.21",₦276.18,₦565.04,₦639.24,₦211.61
13,Jan-18,₦437.13,₦38.85,₦385.53,₦344.52,"₦1,045.55","₦1,298.70",₦313.43,₦282.12,₦413.19,"₦1,852.92","₦1,014.62","₦1,540.80",₦850.00,₦950.77,"₦1,455.50",₦172.24,₦196.71,"₦1,547.50",₦229.26,₦271.35,₦528.59,₦861.07,₦232.87,₦915.27,₦190.51,₦180.00,"₦1,099.77","₦2,134.65",₦248.74,₦480.92,₦273.71,₦248.72,₦322.81,₦274.66,₦308.53,₦360.76,₦113.36,₦864.05,₦894.70,₦271.99,₦540.25,₦655.15,₦226.51
14,Feb-18,₦519.07,₦41.27,₦387.48,₦348.55,"₦1,017.28","₦1,274.71",₦314.17,₦284.36,₦405.69,"₦1,857.25","₦1,037.33","₦1,896.94",₦778.64,₦954.99,"₦1,405.75",₦166.55,₦191.14,"₦1,548.87",₦210.21,₦250.06,₦571.10,₦885.14,₦250.93,₦875.31,₦185.20,₦199.84,"₦1,098.63","₦2,066.03",₦252.03,₦510.10,₦257.63,₦232.19,₦322.81,₦276.28,₦314.77,₦365.21,₦126.44,₦885.65,₦901.49,₦267.10,₦549.02,₦646.00,₦230.85
15,Mar-18,₦527.32,₦41.21,₦395.34,₦357.04,"₦1,024.64","₦1,262.51",₦305.88,₦278.61,₦399.47,"₦1,793.58","₦1,008.28","₦1,524.75",₦772.99,₦935.83,"₦1,410.11",₦158.51,₦187.61,"₦1,544.95",₦209.12,₦243.99,₦585.15,₦899.67,₦261.75,₦915.92,₦231.56,₦193.82,"₦1,069.90","₦1,945.30",₦235.31,₦492.13,₦259.83,₦242.48,₦326.56,₦283.57,₦317.17,₦363.33,₦130.30,₦890.10,₦905.76,₦267.09,₦533.45,₦657.64,₦254.51
16,Apr-18,₦552.09,₦42.25,₦395.19,₦355.32,₦980.26,"₦1,257.73",₦306.54,₦278.61,₦400.94,"₦1,753.53",₦993.54,"₦1,514.53",₦758.88,₦921.49,"₦1,371.80",₦160.22,₦188.14,"₦1,537.85",₦208.21,₦246.50,₦584.47,₦907.89,₦282.06,₦896.40,₦173.45,₦191.05,"₦1,039.02","₦1,912.69",₦234.37,₦486.84,₦262.31,₦235.70,₦322.54,₦281.51,₦323.56,₦369.35,₦137.40,₦889.52,₦898.62,₦289.49,₦548.01,₦649.92,₦279.61
17,May-18,₦548.66,₦41.77,₦407.73,₦367.23,"₦1,011.11","₦1,275.77",₦305.98,₦278.11,₦405.03,"₦1,779.71","₦1,013.11","₦1,520.93",₦782.55,₦925.54,"₦1,399.97",₦165.26,₦192.93,"₦1,536.52",₦216.01,₦256.51,₦601.51,₦941.45,₦300.58,₦927.22,₦180.50,₦195.72,"₦1,062.74","₦1,928.19",₦234.04,₦494.91,₦273.48,₦247.09,₦327.84,₦286.16,₦325.37,₦374.63,₦150.55,₦924.12,₦921.04,₦307.14,₦553.23,₦659.51,₦291.33
18,Jun-18,₦539.75,₦41.38,₦418.78,₦369.43,"₦1,034.57","₦1,271.54",₦308.00,₦275.60,₦404.43,"₦1,770.53","₦1,062.43","₦1,527.82",₦784.78,₦960.56,"₦1,378.57",₦166.23,₦189.93,"₦1,537.25",₦216.72,₦259.83,₦612.45,₦923.47,₦297.09,₦908.91,₦183.69,₦197.27,"₦1,070.62","₦1,941.91",₦240.01,₦499.98,₦276.60,₦248.47,₦331.14,₦280.76,₦323.12,₦373.47,₦148.68,₦939.36,₦950.28,₦317.67,₦552.08,₦660.13,₦285.84
19,Jul-18,₦471.75,₦41.22,₦411.02,₦361.33,"₦1,028.12","₦1,262.73",₦305.25,₦272.71,₦403.56,"₦1,792.12","₦1,064.74","₦1,504.39",₦930.50,₦963.05,"₦1,395.41",₦165.74,₦187.84,"₦1,541.37",₦200.67,₦248.72,₦603.58,₦940.53,₦296.59,₦922.91,₦179.39,₦190.44,"₦1,065.56","₦1,907.21",₦246.91,₦496.43,₦270.77,₦248.58,₦325.13,₦276.29,₦319.35,₦370.79,₦163.30,₦935.16,₦924.77,₦336.29,₦547.90,₦657.58,₦280.83
