Food Item,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-31,Apr-30,May-31,June-30
Catfish (obokun) fresh,₦899.58,₦885.13,₦884.15,₦886.65,₦900.73,₦916.55,₦910.57,₦921.17,₦894.52,₦906.94,₦902.02,₦919.82,"₦1,014.62","₦1,037.33","₦1,008.28",₦993.54,"₦1,013.11","₦1,062.43","₦1,064.74","₦1,088.95","₦1,089.25","₦1,080.38","₦1,112.09","₦1,060.83","₦1,073.51","₦1,066.39","₦1,065.14","₦1,082.01","₦1,063.03","₦1,024.68",₦994.21,"₦1,008.32","₦1,002.53","₦1,004.38","₦1,027.76","₦1,043.41","₦1,025.13","₦1,022.84","₦1,027.30","₦1,048.90","₦1,044.13","₦1,058.90","₦1,061.25","₦1,056.58","₦1,053.62","₦1,063.50","₦1,066.15","₦1,068.19","₦1,069.52","₦1,073.34","₦1,084.84","₦1,097.61","₦1,116.02","₦1,140.68","₦1,174.02","₦1,204.60","₦1,232.25","₦1,242.54","₦1,276.58","₦1,284.34","₦1,381.44","₦1,330.07","₦1,341.04","₦1,379.18","₦1,389.70","₦1,413.90"
Catfish (Smoked),₦817.09,₦825.35,₦834.26,₦837.09,₦845.91,₦848.41,₦853.18,₦852.93,₦839.49,₦845.10,₦847.66,"₦1,007.40","₦1,540.80","₦1,896.94","₦1,524.75","₦1,514.53","₦1,520.93","₦1,527.82","₦1,504.39","₦1,512.40","₦1,499.60","₦1,482.30","₦1,490.84","₦1,519.80","₦1,509.19","₦1,517.84","₦1,517.26","₦1,548.23","₦1,552.13","₦1,528.98","₦1,504.20","₦1,515.95","₦1,499.70","₦1,494.81","₦1,501.28","₦1,507.39","₦1,502.48","₦1,496.07","₦1,501.97","₦1,524.80","₦1,523.47","₦1,529.88","₦1,536.03","₦1,526.12","₦1,529.47","₦1,535.50","₦1,537.30","₦1,534.92","₦1,536.50","₦1,532.05","₦1,532.21","₦1,539.67","₦1,550.99","₦1,566.60","₦1,592.90","₦1,603.89","₦1,599.30","₦1,621.30","₦1,664.65","₦1,673.32","₦1,685.98","₦1,710.36","₦1,733.69","₦1,751.46","₦1,764.56","₦1,782.48"
Chicken Feet,₦765.28,₦785.42,₦907.51,₦768.11,₦819.59,₦832.79,₦832.66,₦834.74,₦817.19,₦800.10,₦790.91,"₦1,155.99",₦850.00,₦778.64,₦772.99,₦758.88,₦782.55,₦784.78,₦930.50,₦803.03,₦808.05,₦775.66,₦985.33,₦737.76,₦749.53,₦731.91,₦727.61,₦746.28,₦727.73,₦693.61,₦663.03,₦685.16,₦670.87,₦659.60,₦686.71,₦699.06,₦685.98,₦684.50,₦691.70,₦711.61,₦701.66,₦712.19,₦715.89,₦724.19,₦715.44,₦720.50,₦729.14,₦729.50,₦729.71,₦754.58,₦765.80,₦784.04,₦801.03,₦809.24,₦819.03,₦830.17,₦849.92,₦860.72,₦882.77,₦883.89,₦897.62,₦911.93,₦919.11,₦932.42,₦936.86,₦971.60
Chicken Wings,₦919.09,₦963.46,₦980.88,₦886.58,₦925.55,₦952.18,₦958.05,₦946.93,₦979.32,₦960.71,₦953.60,₦950.56,₦950.77,₦954.99,₦935.83,₦921.49,₦925.54,₦960.56,₦963.05,₦992.48,"₦1,012.50",₦982.51,₦981.48,₦943.99,₦961.89,₦932.32,₦927.20,₦947.99,₦934.05,₦905.44,₦877.13,₦891.87,₦874.72,₦880.90,₦893.00,₦915.62,₦909.31,₦922.52,₦920.52,₦935.60,₦929.24,₦948.24,₦953.89,₦940.13,₦962.13,₦972.26,₦978.41,₦977.67,₦967.46,₦979.29,₦992.30,"₦1,003.54","₦1,026.76","₦1,042.61","₦1,080.13","₦1,109.63","₦1,125.99","₦1,144.01","₦1,179.82","₦1,197.57","₦1,209.62","₦1,222.77","₦1,238.00","₦1,250.07","₦1,270.95","₦1,292.39"
Dried Fish Sardine,₦959.11,₦935.51,₦958.67,₦972.73,₦991.64,₦989.49,₦968.76,₦972.65,₦947.60,₦967.00,₦968.77,"₦1,077.82","₦1,455.50","₦1,405.75","₦1,410.11","₦1,371.80","₦1,399.97","₦1,378.57","₦1,395.41","₦1,382.94","₦1,374.26","₦1,365.68","₦1,331.62","₦1,342.97","₦1,342.79","₦1,380.38","₦1,381.40","₦1,414.37","₦1,414.49","₦1,394.73","₦1,373.11","₦1,379.51","₦1,381.57","₦1,397.91","₦1,423.23","₦1,444.94","₦1,454.59","₦1,440.71","₦1,432.95","₦1,447.58","₦1,445.67","₦1,455.32","₦1,466.13","₦1,466.66","₦1,477.56","₦1,479.87","₦1,479.84","₦1,482.61","₦1,479.84","₦1,512.67","₦1,513.44","₦1,499.99","₦1,515.16","₦1,540.76","₦1,575.11","₦1,593.15","₦1,596.24","₦1,604.24","₦1,636.80","₦1,647.57","₦1,664.33","₦1,703.59","₦1,718.37","₦1,730.64","₦1,752.79","₦1,778.74"
Evaporated tinned milk carnation 170g,₦136.29,₦140.53,₦143.56,₦151.47,₦157.95,₦162.80,₦162.72,₦158.85,₦174.36,₦170.60,₦169.44,₦159.72,₦172.24,₦166.55,₦158.51,₦160.22,₦165.26,₦166.23,₦165.74,₦162.99,₦166.28,₦163.34,₦162.42,₦163.28,₦164.39,₦161.60,₦161.98,₦161.68,₦163.37,₦156.95,₦157.14,₦156.98,₦159.61,₦159.51,₦157.21,₦157.89,₦157.11,₦150.54,₦153.37,₦160.98,₦161.16,₦162.85,₦163.74,₦162.23,₦163.80,₦164.35,₦166.06,₦167.48,₦169.61,₦172.35,₦172.92,₦176.43,₦176.89,₦180.07,₦184.48,₦187.54,₦187.31,₦189.77,₦195.70,₦199.31,₦201.61,₦205.13,₦208.29,₦216.77,₦221.20,₦226.41
Evaporated tinned milk(peak) 170g,₦157.75,₦166.14,₦177.05,₦197.15,₦198.42,₦194.67,₦195.94,₦190.53,₦206.00,₦198.67,₦196.02,₦191.44,₦196.71,₦191.14,₦187.61,₦188.14,₦192.93,₦189.93,₦187.84,₦184.25,₦189.29,₦187.25,₦187.56,₦189.98,₦190.68,₦190.92,₦188.23,₦188.18,₦189.51,₦188.90,₦188.59,₦186.61,₦186.15,₦187.44,₦183.56,₦184.80,₦185.63,₦183.81,₦183.12,₦190.17,₦190.00,₦191.71,₦193.03,₦194.11,₦195.58,₦195.03,₦197.45,₦196.70,₦197.39,₦195.20,₦197.51,₦199.20,₦201.65,₦207.68,₦209.48,₦213.09,₦216.71,₦217.52,₦234.93,₦234.80,₦239.21,₦245.28,₦250.11,₦253.85,₦258.55,₦266.77
Frozen chicken,"₦1,419.75","₦1,428.95","₦1,555.51","₦1,606.63","₦1,605.97","₦1,645.29","₦1,623.84","₦1,529.25","₦1,570.26","₦1,580.13","₦1,571.48","₦1,708.64","₦1,547.50","₦1,548.87","₦1,544.95","₦1,537.85","₦1,536.52","₦1,537.25","₦1,541.37","₦1,533.22","₦1,534.18","₦1,558.22","₦1,551.25","₦1,625.05","₦1,614.19","₦1,632.71","₦1,910.70","₦1,681.11","₦1,701.62","₦1,752.97","₦1,783.38","₦1,770.45","₦1,901.64","₦1,993.98","₦2,008.39","₦1,995.58","₦1,983.14","₦1,948.59","₦1,941.04","₦1,958.10","₦1,944.56","₦1,950.47","₦1,955.54","₦1,948.12","₦1,931.95","₦1,932.96","₦1,936.97","₦1,939.17","₦1,927.54","₦1,919.18","₦1,926.86","₦1,928.22","₦1,944.80","₦1,982.87","₦2,049.66","₦2,091.34","₦2,109.81","₦2,128.91","₦2,164.76","₦2,256.81","₦2,275.78","₦2,351.31","₦2,381.19","₦2,380.81","₦2,415.53","₦2,453.94"
"Gaari white, sold loose",₦219.56,₦260.94,₦273.67,₦288.45,₦292.97,₦315.61,₦317.10,₦310.15,₦301.99,₦268.10,₦251.91,₦199.68,₦229.26,₦210.21,₦209.12,₦208.21,₦216.01,₦216.72,₦200.67,₦198.82,₦195.86,₦188.39,₦183.59,₦166.64,₦165.80,₦166.61,₦163.51,₦163.37,₦161.55,₦145.31,₦151.73,₦154.10,₦154.55,₦162.42,₦160.06,₦159.39,₦159.64,₦159.33,₦164.60,₦190.23,₦196.16,₦214.73,₦222.47,₦224.53,₦235.77,₦244.96,₦241.25,₦238.65,₦243.76,₦259.59,₦274.03,₦276.33,₦301.88,₦324.26,₦329.20,₦323.01,₦301.58,₦292.57,₦302.28,₦299.51,₦307.53,₦313.27,₦317.33,₦318.74,₦326.85,₦332.53
"Gaari yellow, sold loose",₦255.83,₦250.45,₦302.05,₦320.92,₦326.83,₦354.55,₦350.46,₦345.82,₦335.94,₦305.02,₦289.15,₦219.75,₦271.35,₦250.06,₦243.99,₦246.50,₦256.51,₦259.83,₦248.72,₦246.75,₦253.70,₦236.26,₦222.42,₦195.99,₦191.78,₦191.06,₦184.18,₦182.59,₦180.75,₦156.02,₦154.05,₦167.34,₦172.23,₦175.57,₦181.32,₦183.26,₦182.19,₦186.35,₦192.41,₦211.83,₦222.25,₦241.58,₦255.10,₦253.02,₦263.57,₦275.01,₦268.05,₦263.27,₦265.55,₦282.79,₦293.97,₦299.18,₦318.70,₦338.99,₦347.70,₦341.81,₦322.44,₦321.57,₦329.21,₦330.47,₦336.33,₦339.72,₦338.69,₦335.19,₦344.69,₦353.95
"Groundnut oil, 1 bottle",₦477.86,₦482.94,₦494.10,₦494.24,₦500.19,₦503.28,₦505.12,₦508.33,₦477.97,₦504.03,₦503.79,₦660.36,₦528.59,₦571.10,₦585.15,₦584.47,₦601.51,₦612.45,₦603.58,₦603.41,₦608.35,₦592.51,₦603.90,₦585.52,₦588.60,₦585.69,₦580.55,₦578.52,₦573.40,₦558.30,₦545.13,₦557.44,₦557.51,₦562.59,₦580.03,₦580.45,₦571.88,₦572.36,₦583.22,₦601.03,₦601.14,₦620.31,₦623.09,₦626.69,₦633.39,₦646.04,₦656.76,₦664.78,₦672.42,₦676.87,₦667.67,₦689.19,₦703.36,₦728.43,₦768.81,₦812.70,₦844.42,₦852.32,₦890.15,₦923.68,₦941.10,₦971.01,₦994.62,"₦1,007.68","₦1,040.88","₦1,062.90"
Iced Sardine,"₦1,879.96","₦1,915.68","₦1,902.15","₦1,927.97","₦1,919.64","₦1,916.19","₦1,915.25","₦1,904.67","₦1,878.46","₦1,914.45","₦1,903.71","₦1,545.26",₦861.07,₦885.14,₦899.67,₦907.89,₦941.45,₦923.47,₦940.53,₦937.22,₦931.59,₦916.80,₦920.98,₦906.39,₦906.02,₦911.33,₦908.81,₦941.44,₦925.31,₦899.83,₦887.69,₦907.70,₦913.41,₦925.05,₦956.79,₦969.60,₦964.40,₦961.21,₦960.69,₦987.10,₦994.47,"₦1,008.23","₦1,005.46","₦1,005.58","₦1,022.67","₦1,028.48","₦1,014.92","₦1,011.83","₦1,021.00","₦1,042.66","₦1,047.03","₦1,059.10","₦1,076.34","₦1,106.05","₦1,161.01","₦1,195.15","₦1,208.67","₦1,209.04","₦1,236.35","₦1,250.06","₦1,275.90","₦1,298.02","₦1,323.84","₦1,337.70","₦1,359.45","₦1,394.99"
Irish potato,₦300.95,₦307.29,₦311.81,₦318.88,₦315.86,₦319.30,₦311.40,₦310.48,₦307.46,₦291.12,₦290.55,₦314.23,₦232.87,₦250.93,₦261.75,₦282.06,₦300.58,₦297.09,₦296.59,₦309.50,₦291.95,₦300.14,₦330.10,₦298.59,₦290.55,₦284.31,₦278.92,₦289.67,₦288.86,₦274.10,₦250.34,₦271.48,₦268.57,₦264.29,₦289.23,₦304.46,₦281.09,₦286.21,₦301.24,₦309.85,₦304.60,₦324.81,₦328.07,₦320.45,₦309.10,₦318.96,₦319.48,₦320.01,₦325.13,₦319.25,₦316.05,₦312.37,₦325.15,₦356.44,₦380.21,₦366.63,₦358.63,₦367.85,₦403.68,₦414.84,₦429.80,₦430.54,₦443.28,₦448.38,₦460.07,₦473.77
Mackerel : frozen,₦759.01,₦764.62,₦774.89,₦778.15,₦785.37,₦794.64,₦795.82,₦797.77,₦785.57,₦828.93,₦844.59,"₦1,015.57",₦915.27,₦875.31,₦915.92,₦896.40,₦927.22,₦908.91,₦922.91,₦926.18,₦944.50,₦920.99,₦937.77,₦934.19,₦933.94,₦931.39,₦935.30,₦958.05,₦942.42,₦926.08,₦911.43,₦914.58,₦921.47,₦938.02,₦951.67,₦953.29,₦946.05,₦932.21,₦928.27,₦953.14,₦959.22,₦976.99,₦989.44,₦997.01,"₦1,004.58","₦1,015.06","₦1,028.03","₦1,030.59","₦1,031.11","₦1,030.64","₦1,034.27","₦1,053.54","₦1,083.71","₦1,117.21","₦1,201.57","₦1,249.86","₦1,280.77","₦1,284.86","₦1,318.90","₦1,322.24","₦1,381.84","₦1,372.65","₦1,391.50","₦1,414.15","₦1,430.90","₦1,459.82"
